Loan_ID,Customer_Age,Income,Loan_Type,Loan_Amount,Interest_Rate,Issue_Date,Loan_Status,Recovery_Status,Recovery_Amount,Outstanding_Amount,Recovery_Rate,Risk_Segment
LN08058,44.0,1092235,Home Loan,2412000,8.24,2025-09-05,Fully Paid,Recovered,2353092.12,58907.88,97.56,Medium Risk
LN04588,44.0,647868,Home Loan,3431000,10.13,2025-11-22,Charged Off,Default,1254098.68,2176901.32,36.55,Medium Risk
LN00034,58.0,485584,Personal Loan,288000,16.34,2025-06-29,Charged Off,Default,86896.02,201103.98,30.17,Medium Risk
LN06389,40.0,1167372,Personal Loan,302000,15.86,2025-06-28,Fully Paid,Recovered,301196.91,803.09,99.73,Medium Risk
LN07195,63.0,1171048,Business Loan,4161000,12.25,2025-07-14,Fully Paid,Recovered,4117451.97,43548.03,98.95,Medium Risk
LN08378,22.0,420498,Business Loan,3997000,14.01,2026-01-05,Charged Off,Default,832367.09,3164632.91,20.82,High Risk
LN04817,54.0,696152,Home Loan,3658000,8.97,2025-12-01,Fully Paid,Recovered,3554482.57,103517.43,97.17,Medium Risk
LN00901,32.0,566183,Auto Loan,755000,10.18,2025-09-14,Fully Paid,Recovered,719523.06,35476.94,95.3,Medium Risk
LN00766,24.0,281190,Business Loan,3248000,13.46,2026-03-07,Fully Paid,Recovered,3238757.5,9242.5,99.72,High Risk
LN07551,45.0,1311603,Home Loan,4458000,9.75,2025-05-31,Fully Paid,Recovered,4302250.3,155749.7,96.51,Medium Risk
LN00734,45.0,590708,Auto Loan,678000,10.51,2025-11-05,Fully Paid,Recovered,672818.29,5181.71,99.24,Medium Risk
LN05910,43.0,938096,Auto Loan,974000,9.84,2026-03-13,Fully Paid,Recovered,947627.68,26372.32,97.29,Medium Risk
LN00569,40.0,1053790,Business Loan,4603000,13.66,2025-06-08,Fully Paid,Recovered,4389544.69,213455.31,95.36,Medium Risk
LN01255,42.0,1626317,Home Loan,3190000,8.91,2025-11-01,Fully Paid,Recovered,3042010.56,147989.44,95.36,Medium Risk
LN09602,48.0,589192,Personal Loan,238000,15.02,2026-01-13,Charged Off,Default,27179.23,210820.77,11.42,Medium Risk
LN03616,64.0,574692,Auto Loan,634000,10.94,2025-09-28,Fully Paid,Recovered,610631.92,23368.08,96.31,Medium Risk
LN08354,39.0,1264268,Auto Loan,976000,11.36,2026-01-19,Charged Off,Default,107092.63,868907.37,10.97,Medium Risk
LN05318,30.0,327585,Business Loan,4725000,13.37,2025-08-12,Fully Paid,Recovered,4606565.79,118434.21,97.49,High Risk
LN00040,25.0,1612506,Education Loan,638000,11.44,2026-04-21,Fully Paid,Recovered,636766.67,1233.33,99.81,Low Risk
LN09202,29.0,580968,Home Loan,2935000,8.99,2026-01-04,Fully Paid,Recovered,2844863.07,90136.93,96.93,High Risk
LN03393,40.0,676524,Auto Loan,862000,11.21,2025-06-03,Fully Paid,Recovered,828055.99,33944.01,96.06,Medium Risk
LN05441,23.0,1221268,Personal Loan,413000,16.26,2025-08-14,Fully Paid,Recovered,412900.14,99.86,99.98,Medium Risk
LN03929,36.0,354516,Auto Loan,1012000,10.77,2026-01-26,Fully Paid,Recovered,988763.49,23236.51,97.7,Medium Risk
LN01414,33.0,2269810,Business Loan,3866000,12.43,2026-03-02,Charged Off,Default,540183.88,3325816.12,13.97,Medium Risk
LN05290,41.0,613292,Home Loan,3150000,8.66,2026-02-26,Fully Paid,Recovered,2997746.49,152253.51,95.17,Medium Risk
LN09748,34.0,861436,Education Loan,681000,12.12,2025-10-18,Fully Paid,Recovered,661154.55,19845.45,97.09,Medium Risk
LN09161,,1262929,Home Loan,4132000,9.03,2025-05-07,Fully Paid,Recovered,4076863.77,55136.23,98.67,Medium Risk
LN05182,26.0,657677,Home Loan,2923000,10.1,2025-12-26,Charged Off,Default,600960.14,2322039.86,20.56,Medium Risk
LN05124,49.0,1305802,Personal Loan,367000,15.58,2026-03-08,Fully Paid,Recovered,365593.64,1406.36,99.62,Medium Risk
LN06422,44.0,200000,Home Loan,2238000,8.89,2025-06-15,Charged Off,Default,374113.44,1863886.56,16.72,High Risk
LN09437,40.0,570665,Auto Loan,847000,10.88,2025-12-08,Fully Paid,Recovered,809043.86,37956.14,95.52,Medium Risk
LN03127,31.0,658377,Education Loan,596000,12.29,2026-02-12,Fully Paid,Recovered,595135.09,864.91,99.85,Medium Risk
LN08841,32.0,1559469,Home Loan,2790000,8.33,2026-01-26,Fully Paid,Recovered,2724732.69,65267.31,97.66,Medium Risk
LN01958,28.0,200000,Home Loan,3015000,9.39,2025-09-01,Fully Paid,Recovered,2890229.92,124770.08,95.86,High Risk
LN08970,63.0,439261,Auto Loan,696000,10.02,2025-10-15,Fully Paid,Recovered,677520.2,18479.8,97.34,Medium Risk
LN01184,23.0,1092721,Auto Loan,891000,10.61,2025-09-10,Fully Paid,Recovered,853806.39,37193.61,95.83,Medium Risk
LN09104,34.0,832449,Auto Loan,609000,11.1,2025-12-23,Fully Paid,Recovered,581676.28,27323.72,95.51,Medium Risk
LN04348,49.0,533790,Home Loan,3427000,9.76,2025-12-04,Charged Off,Default,1247163.22,2179836.78,36.39,High Risk
LN00252,56.0,1225787,Business Loan,4701000,12.32,2026-01-13,Fully Paid,Recovered,4546431.07,154568.93,96.71,Medium Risk
LN01473,46.0,335475,Home Loan,2980000,9.79,2025-12-05,Fully Paid,Recovered,2955983.07,24016.93,99.19,High Risk
LN06224,35.0,1300101,Personal Loan,298000,15.52,2025-10-27,Fully Paid,Recovered,293325.6,4674.4,98.43,Medium Risk
LN05358,,587446,Personal Loan,283000,16.07,2026-04-20,Charged Off,Default,40070.93,242929.07,14.16,Medium Risk
LN00097,,876919,Personal Loan,334000,14.71,2025-07-04,Fully Paid,Recovered,333108.48,891.52,99.73,Medium Risk
LN07809,49.0,714865,Education Loan,774000,11.73,2025-09-27,Fully Paid,Recovered,770397.68,3602.32,99.53,Medium Risk
LN04793,27.0,675180,Personal Loan,361000,15.1,2025-06-04,Charged Off,Default,93435.45,267564.55,25.88,Medium Risk
LN06484,64.0,1723667,Auto Loan,455000,9.5,2025-08-21,Fully Paid,Recovered,442582.95,12417.05,97.27,Low Risk
LN04170,40.0,416484,Personal Loan,489000,16.52,2026-01-24,Fully Paid,Recovered,473609.91,15390.09,96.85,Medium Risk
LN02393,53.0,2421904,Personal Loan,355000,15.7,2026-02-26,Fully Paid,Recovered,344915.8,10084.2,97.16,Low Risk
LN02445,57.0,723013,Auto Loan,1041000,10.96,2025-10-09,Fully Paid,Recovered,999429.7,41570.3,96.01,Medium Risk
LN04885,54.0,488037,Auto Loan,924000,10.5,2025-11-10,Fully Paid,Recovered,889258.18,34741.82,96.24,Medium Risk
LN01609,43.0,979840,Personal Loan,395000,15.62,2025-09-02,Charged Off,Default,127969.45,267030.55,32.4,Medium Risk
LN00108,45.0,515239,Auto Loan,682000,11.71,2026-04-06,Charged Off,Default,222711.19,459288.81,32.66,Medium Risk
LN09878,40.0,2090907,Education Loan,588000,11.05,2025-10-25,Fully Paid,Recovered,586189.78,1810.22,99.69,Low Risk
LN01218,43.0,822171,Auto Loan,815000,10.88,2025-07-02,Fully Paid,Recovered,783282.36,31717.64,96.11,Medium Risk
LN07493,30.0,1155364,Home Loan,4620000,8.07,2025-10-21,Fully Paid,Recovered,4445012.64,174987.36,96.21,Medium Risk
LN00304,26.0,1034601,Education Loan,442000,12.45,2025-07-14,Fully Paid,Recovered,441627.88,372.12,99.92,Medium Risk
LN09240,29.0,842740,Personal Loan,421000,15.18,2026-03-04,Charged Off,Default,134163.36,286836.64,31.87,Medium Risk
LN02475,53.0,512128,Business Loan,5017000,13.77,2025-12-01,Fully Paid,Recovered,4862187.65,154812.35,96.91,High Risk
LN02336,59.0,426987,Education Loan,560000,11.52,2026-03-20,Fully Paid,Recovered,552691.77,7308.23,98.69,Medium Risk
LN01072,30.0,328085,Education Loan,444000,12.07,2025-11-22,Fully Paid,Recovered,438343.32,5656.68,98.73,Medium Risk
LN01513,57.0,502935,Personal Loan,341000,16.74,2026-02-05,Charged Off,Default,125179.8,215820.2,36.71,Medium Risk
LN00170,30.0,1197291,Home Loan,3545000,8.12,2026-02-14,Fully Paid,Recovered,3437718.68,107281.32,96.97,Medium Risk
LN01627,55.0,450846,Personal Loan,389000,16.01,2025-08-30,Fully Paid,Recovered,384383.38,4616.62,98.81,Medium Risk
LN06005,55.0,297749,Personal Loan,518000,16.55,2025-05-02,Fully Paid,Recovered,512501.05,5498.95,98.94,Medium Risk
LN05326,58.0,372516,Auto Loan,675000,10.38,2025-11-07,Charged Off,Default,171822.97,503177.03,25.46,Medium Risk
LN00577,57.0,308663,Business Loan,4027000,13.31,2025-09-13,Fully Paid,Recovered,3911434.78,115565.22,97.13,High Risk
LN04048,27.0,438944,Education Loan,671000,11.11,2025-07-21,Charged Off,Default,91668.7,579331.3,13.66,Medium Risk
LN08753,43.0,364837,Personal Loan,325000,16.22,2025-05-12,Fully Paid,Recovered,321449.61,3550.39,98.91,Medium Risk
LN08141,29.0,396075,Home Loan,3174000,8.61,2026-01-30,Fully Paid,Recovered,3159246.77,14753.23,99.54,High Risk
LN06146,29.0,1104983,Home Loan,3302000,8.95,2025-06-12,Fully Paid,Recovered,3270025.72,31974.28,99.03,Medium Risk
LN01651,51.0,337289,Business Loan,3545000,12.83,2026-01-30,Charged Off,Default,759862.62,2785137.38,21.43,High Risk
LN07518,31.0,472044,Auto Loan,1113000,10.78,2026-01-02,Fully Paid,Recovered,1095518.32,17481.68,98.43,Medium Risk
LN01731,28.0,215693,Business Loan,3150000,12.5,2026-03-21,Fully Paid,Recovered,3006003.13,143996.87,95.43,High Risk
LN08601,41.0,1232935,Auto Loan,900000,9.44,2026-04-10,Fully Paid,Recovered,895197.93,4802.07,99.47,Medium Risk
LN07064,63.0,485187,Auto Loan,742000,9.77,2026-03-16,Fully Paid,Recovered,715970.24,26029.76,96.49,Medium Risk
LN05285,63.0,1006113,Home Loan,3751000,9.32,2025-10-21,Fully Paid,Recovered,3667847.08,83152.92,97.78,Medium Risk
LN09730,35.0,1078519,Education Loan,622000,11.12,2025-09-06,Fully Paid,Recovered,604909.68,17090.32,97.25,Medium Risk
LN07741,27.0,1810815,Auto Loan,801000,9.67,2025-05-17,Fully Paid,Recovered,774664.38,26335.62,96.71,Low Risk
LN01769,54.0,252898,Home Loan,2193000,8.63,2026-01-06,Fully Paid,Recovered,2099587.93,93412.07,95.74,High Risk
LN09024,28.0,512946,Personal Loan,280000,14.78,2025-07-10,Charged Off,Default,76151.57,203848.43,27.2,Medium Risk
LN02192,37.0,427417,Personal Loan,475000,16.49,2025-12-20,Fully Paid,Recovered,472052.26,2947.74,99.38,Medium Risk
LN04152,60.0,912106,Auto Loan,862000,11.07,2025-11-29,Fully Paid,Recovered,848840.76,13159.24,98.47,Medium Risk
LN02974,25.0,874673,Business Loan,4793000,12.46,2025-08-08,Fully Paid,Recovered,4737921.75,55078.25,98.85,Medium Risk
LN07876,32.0,565114,Home Loan,3218000,8.52,2025-10-26,Charged Off,Default,1286334.56,1931665.44,39.97,High Risk
LN02488,53.0,786680,Business Loan,4174000,13.47,2025-08-11,Fully Paid,Recovered,4097647.51,76352.49,98.17,Medium Risk
LN07672,36.0,1509895,Personal Loan,307000,16.07,2025-08-01,Fully Paid,Recovered,304316.27,2683.73,99.13,Low Risk
LN00501,39.0,905089,Personal Loan,396000,14.69,2026-02-22,Fully Paid,Recovered,379976.9,16023.1,95.95,Medium Risk
LN00938,61.0,985784,Auto Loan,1000000,11.23,2025-12-09,Fully Paid,Recovered,986894.41,13105.59,98.69,Medium Risk
LN02626,,511804,Business Loan,2801000,12.46,2025-04-25,Fully Paid,Recovered,2682414.1,118585.9,95.77,High Risk
LN04605,50.0,378750,Home Loan,3778000,8.82,2025-12-27,Charged Off,Default,1029938.15,2748061.85,27.26,High Risk
LN06018,39.0,1239173,Auto Loan,670000,11.06,2025-05-18,Charged Off,Default,149055.29,520944.71,22.25,Medium Risk
LN04788,43.0,668907,Auto Loan,820000,11.46,2025-11-22,Fully Paid,Recovered,805700.17,14299.83,98.26,Medium Risk
LN00440,55.0,2157701,Home Loan,5233000,9.18,2025-11-30,Fully Paid,Recovered,4976420.63,256579.37,95.1,Medium Risk
LN07552,49.0,543749,Home Loan,3223000,9.64,2025-09-22,Charged Off,Default,795890.65,2427109.35,24.69,High Risk
LN00625,53.0,638267,Home Loan,3389000,9.02,2025-10-31,Fully Paid,Recovered,3244229.76,144770.24,95.73,Medium Risk
LN01509,34.0,828141,Auto Loan,676000,11.25,2025-06-26,Fully Paid,Recovered,653096.21,22903.79,96.61,Medium Risk
LN09346,55.0,864485,Home Loan,4180000,8.77,2026-01-25,Fully Paid,Recovered,4080907.0,99093.0,97.63,Medium Risk
LN08766,35.0,764950,Personal Loan,461000,15.18,2025-07-24,Fully Paid,Recovered,459606.86,1393.14,99.7,Medium Risk
LN02535,64.0,2099064,Home Loan,3741000,9.37,2025-05-26,Fully Paid,Recovered,3693598.88,47401.12,98.73,Medium Risk
LN08889,22.0,780293,Personal Loan,313000,16.57,2025-11-27,Fully Paid,Recovered,305652.58,7347.42,97.65,Medium Risk
LN00656,23.0,595370,Auto Loan,628000,10.36,2026-03-11,Fully Paid,Recovered,607257.18,20742.82,96.7,Medium Risk
LN03413,35.0,455855,Auto Loan,936000,11.21,2025-08-25,Charged Off,Default,284504.73,651495.27,30.4,Medium Risk
LN07355,,991525,Home Loan,4168000,9.82,2026-01-15,Fully Paid,Recovered,4099130.89,68869.11,98.35,Medium Risk
LN00519,34.0,1028314,Education Loan,648000,12.29,2025-10-14,Charged Off,Default,235208.64,412791.36,36.3,Medium Risk
LN04990,36.0,530968,Auto Loan,746000,10.76,2025-12-10,Fully Paid,Recovered,734273.19,11726.81,98.43,Medium Risk
LN00347,50.0,349656,Auto Loan,594000,10.44,2026-03-20,Fully Paid,Recovered,569815.7,24184.3,95.93,Medium Risk
LN05131,36.0,1856928,Business Loan,2451000,11.6,2025-07-14,Fully Paid,Recovered,2434587.92,16412.08,99.33,Medium Risk
LN02305,30.0,461522,Education Loan,463000,11.56,2025-06-17,Fully Paid,Recovered,446495.46,16504.54,96.44,Medium Risk
LN02139,29.0,1777423,Home Loan,3810000,9.29,2025-12-18,Fully Paid,Recovered,3634145.23,175854.77,95.38,Medium Risk
LN00316,45.0,736817,Personal Loan,592000,16.21,2025-07-10,Charged Off,Default,116393.92,475606.08,19.66,Medium Risk
LN09364,60.0,1284162,Home Loan,2879000,8.34,2025-05-02,Fully Paid,Recovered,2826157.91,52842.09,98.16,Medium Risk
LN00674,56.0,832791,Business Loan,4227000,13.55,2025-09-17,Fully Paid,Recovered,4149450.73,77549.27,98.17,Medium Risk
LN02997,56.0,468525,Education Loan,496000,11.2,2025-10-07,Fully Paid,Recovered,495557.35,442.65,99.91,Medium Risk
LN09639,60.0,905388,Personal Loan,210000,15.37,2025-11-17,Fully Paid,Recovered,201444.5,8555.5,95.93,Medium Risk
LN03353,29.0,1226978,Auto Loan,729000,10.09,2025-10-24,Fully Paid,Recovered,701786.89,27213.11,96.27,Medium Risk
LN00484,55.0,713694,Personal Loan,419000,16.38,2025-12-13,Charged Off,Default,67349.79,351650.21,16.07,Medium Risk
LN01684,38.0,371933,Home Loan,2864000,9.55,2025-09-03,Fully Paid,Recovered,2771946.58,92053.42,96.79,High Risk
LN08883,28.0,1792347,Personal Loan,229000,15.15,2025-09-03,Charged Off,Default,43906.67,185093.33,19.17,Low Risk
LN09051,33.0,272944,Auto Loan,923000,10.61,2026-02-07,Charged Off,Default,312416.81,610583.19,33.85,Medium Risk
LN07611,57.0,784966,Home Loan,2900000,9.87,2025-11-08,Charged Off,Default,835007.61,2064992.39,28.79,Medium Risk
LN08912,45.0,707372,Auto Loan,892000,11.52,2025-05-19,Fully Paid,Recovered,854212.58,37787.42,95.76,Medium Risk
LN01124,39.0,1430729,Personal Loan,196000,15.31,2026-02-26,Fully Paid,Recovered,189520.55,6479.45,96.69,Medium Risk
LN05577,47.0,988922,Education Loan,700000,10.63,2026-01-11,Fully Paid,Recovered,690492.29,9507.71,98.64,Medium Risk
LN06267,54.0,969236,Personal Loan,514000,16.5,2025-12-14,Fully Paid,Recovered,510169.62,3830.38,99.25,Medium Risk
LN01596,38.0,1246880,Personal Loan,499000,15.23,2025-09-25,Fully Paid,Recovered,498431.93,568.07,99.89,Medium Risk
LN00762,25.0,693118,Education Loan,281000,11.24,2025-05-31,Fully Paid,Recovered,278760.96,2239.04,99.2,Medium Risk
LN08665,63.0,572118,Home Loan,3872000,9.52,2025-09-15,Charged Off,Default,600420.11,3271579.89,15.51,High Risk
LN08350,43.0,302659,Auto Loan,772000,9.92,2025-06-30,Fully Paid,Recovered,735939.25,36060.75,95.33,Medium Risk
LN07497,47.0,475664,Education Loan,588000,12.44,2026-01-04,Fully Paid,Recovered,567854.08,20145.92,96.57,Medium Risk
LN02030,23.0,200000,Education Loan,518000,12.72,2026-01-14,Fully Paid,Recovered,506796.02,11203.98,97.84,Medium Risk
LN06836,63.0,1160950,Business Loan,3693000,12.15,2025-09-21,Fully Paid,Recovered,3612020.43,80979.57,97.81,Medium Risk
LN03964,35.0,1670250,Personal Loan,324000,15.55,2025-09-01,Fully Paid,Recovered,308444.13,15555.87,95.2,Low Risk
LN07499,64.0,917607,Personal Loan,413000,14.75,2026-04-06,Fully Paid,Recovered,393546.81,19453.19,95.29,Medium Risk
LN00260,32.0,1071711,Home Loan,4024000,8.16,2025-06-29,Fully Paid,Recovered,3841542.99,182457.01,95.47,Medium Risk
LN03095,,966022,Business Loan,4069000,12.6,2025-11-11,Fully Paid,Recovered,4006065.97,62934.03,98.45,Medium Risk
LN00953,,694845,Auto Loan,1305000,11.54,2026-04-21,Fully Paid,Recovered,1247552.48,57447.52,95.6,Medium Risk
LN09818,37.0,627002,Business Loan,3656000,12.35,2026-01-31,Fully Paid,Recovered,3573961.0,82039.0,97.76,Medium Risk
LN04056,62.0,1205763,Education Loan,863000,11.5,2025-04-30,Fully Paid,Recovered,830523.39,32476.61,96.24,Medium Risk
LN07287,60.0,849768,Education Loan,836000,11.05,2025-12-01,Fully Paid,Recovered,812078.38,23921.62,97.14,Medium Risk
LN00312,27.0,418222,Business Loan,3310000,12.55,2025-10-03,Fully Paid,Recovered,3265941.39,44058.61,98.67,High Risk
LN04694,34.0,1157132,Home Loan,3062000,7.95,2026-02-24,Fully Paid,Recovered,3036194.64,25805.36,99.16,Medium Risk
LN02129,,747919,Home Loan,2748000,9.73,2025-06-15,Fully Paid,Recovered,2670704.27,77295.73,97.19,Medium Risk
LN07208,28.0,774057,Education Loan,496000,11.69,2025-07-25,Fully Paid,Recovered,481697.96,14302.04,97.12,Medium Risk
LN00933,55.0,551431,Home Loan,4191000,8.45,2025-07-10,Charged Off,Default,682477.69,3508522.31,16.28,High Risk
LN00032,36.0,1211662,Personal Loan,443000,15.13,2026-03-26,Charged Off,Default,78742.54,364257.46,17.77,Medium Risk
LN00036,42.0,528792,Home Loan,3307000,9.67,2026-01-06,Fully Paid,Recovered,3187396.77,119603.23,96.38,High Risk
LN06097,25.0,1150405,Home Loan,3594000,8.5,2026-03-07,Fully Paid,Recovered,3451112.03,142887.97,96.02,Medium Risk
LN06557,45.0,588964,Auto Loan,862000,10.28,2025-05-30,Fully Paid,Recovered,837010.61,24989.39,97.1,Medium Risk
LN09229,39.0,249935,Personal Loan,395000,16.87,2025-10-10,Fully Paid,Recovered,388202.25,6797.75,98.28,Medium Risk
LN06602,63.0,1672607,Auto Loan,774000,10.91,2025-10-28,Fully Paid,Recovered,740760.01,33239.99,95.71,Low Risk
LN08787,48.0,1128513,Home Loan,2997000,8.23,2026-01-13,Fully Paid,Recovered,2889994.58,107005.42,96.43,Medium Risk
LN06129,27.0,1122266,Business Loan,4608000,12.51,2025-06-24,Fully Paid,Recovered,4495025.74,112974.26,97.55,Medium Risk
LN03379,55.0,467775,Education Loan,843000,11.21,2025-10-18,Fully Paid,Recovered,831951.82,11048.18,98.69,Medium Risk
LN05383,47.0,1171578,Home Loan,3432000,8.65,2025-11-24,Charged Off,Default,1039521.72,2392478.28,30.29,Medium Risk
LN02819,29.0,911526,Home Loan,4198000,9.5,2025-07-24,Fully Paid,Recovered,4182088.19,15911.81,99.62,Medium Risk
LN04050,49.0,578399,Auto Loan,855000,10.47,2025-07-10,Fully Paid,Recovered,821487.07,33512.93,96.08,Medium Risk
LN08222,55.0,347983,Home Loan,2493000,10.19,2026-02-06,Fully Paid,Recovered,2452907.1,40092.9,98.39,High Risk
LN06395,27.0,634541,Home Loan,3381000,9.83,2026-03-14,Charged Off,Default,1318626.41,2062373.59,39.0,Medium Risk
LN09285,45.0,1299987,Home Loan,3402000,9.27,2025-07-05,Fully Paid,Recovered,3260496.98,141503.02,95.84,Medium Risk
LN03521,58.0,481331,Personal Loan,538000,15.66,2025-10-02,Fully Paid,Recovered,528009.3,9990.7,98.14,Medium Risk
LN06729,45.0,1158022,Home Loan,3849000,8.0,2026-02-20,Fully Paid,Recovered,3773600.61,75399.39,98.04,Medium Risk
LN05307,50.0,1176092,Auto Loan,716000,9.66,2026-03-29,Fully Paid,Recovered,705816.13,10183.87,98.58,Medium Risk
LN00296,48.0,581711,Home Loan,4664000,9.84,2025-06-21,Fully Paid,Recovered,4526422.53,137577.47,97.05,High Risk
LN02725,45.0,348705,Home Loan,3461000,9.37,2025-11-06,Fully Paid,Recovered,3315761.63,145238.37,95.8,High Risk
LN07768,41.0,430092,Auto Loan,786000,10.95,2025-09-07,Fully Paid,Recovered,760589.12,25410.88,96.77,Medium Risk
LN00081,36.0,869584,Education Loan,735000,10.94,2026-02-11,Fully Paid,Recovered,699642.35,35357.65,95.19,Medium Risk
LN05585,40.0,1462967,Home Loan,2771000,9.16,2026-01-08,Fully Paid,Recovered,2646026.32,124973.68,95.49,Medium Risk
LN01954,40.0,358724,Personal Loan,558000,15.17,2026-01-31,Charged Off,Default,220697.63,337302.37,39.55,Medium Risk
LN03394,59.0,326980,Personal Loan,390000,14.86,2026-04-13,Fully Paid,Recovered,372994.28,17005.72,95.64,Medium Risk
LN08858,23.0,925097,Education Loan,822000,12.32,2025-10-04,Fully Paid,Recovered,783214.94,38785.06,95.28,Medium Risk
LN04011,27.0,1476366,Auto Loan,731000,10.28,2025-11-01,Fully Paid,Recovered,713830.41,17169.59,97.65,Medium Risk
LN06728,59.0,761651,Personal Loan,221000,16.24,2026-01-12,Fully Paid,Recovered,211916.91,9083.09,95.89,Medium Risk
LN01311,45.0,3127918,Auto Loan,1111000,10.64,2025-11-26,Fully Paid,Recovered,1069684.68,41315.32,96.28,Low Risk
LN09924,24.0,1657434,Business Loan,4238000,12.77,2025-06-27,Charged Off,Default,954914.87,3283085.13,22.53,Medium Risk
LN08266,44.0,1068207,Business Loan,3386000,12.6,2025-07-28,Charged Off,Default,1105579.71,2280420.29,32.65,Medium Risk
LN00120,22.0,672913,Home Loan,5454000,8.81,2025-12-29,Fully Paid,Recovered,5400894.91,53105.09,99.03,Medium Risk
LN03890,44.0,583752,Business Loan,3062000,13.49,2025-12-30,Charged Off,Default,921968.33,2140031.67,30.11,High Risk
LN04780,59.0,956294,Business Loan,3894000,12.9,2025-11-09,Fully Paid,Recovered,3857490.92,36509.08,99.06,Medium Risk
LN06204,51.0,1439233,Business Loan,3096000,12.82,2026-04-07,Fully Paid,Recovered,2978863.52,117136.48,96.22,Medium Risk
LN03209,22.0,672816,Home Loan,3650000,9.38,2025-11-02,Charged Off,Default,767245.24,2882754.76,21.02,Medium Risk
LN08828,46.0,965662,Business Loan,4893000,12.39,2025-10-06,Fully Paid,Recovered,4747756.97,145243.03,97.03,Medium Risk
LN08480,34.0,2675181,Home Loan,2952000,8.08,2025-10-10,Fully Paid,Recovered,2806342.69,145657.31,95.07,Medium Risk
LN04973,33.0,924916,Home Loan,3728000,9.24,2026-01-31,Fully Paid,Recovered,3596777.01,131222.99,96.48,Medium Risk
LN07582,,763399,Auto Loan,735000,10.61,2026-04-06,Fully Paid,Recovered,699693.74,35306.26,95.2,Medium Risk
LN03539,37.0,677232,Business Loan,4076000,12.39,2026-02-11,Fully Paid,Recovered,3943999.72,132000.28,96.76,Medium Risk
